,highlights,paraphrased_highlights
422,"A COMPARISON OF EFECTIVENESS, AND AN ASSESSMENT OF THE QUALITY OF LIFE OF PATIENTS AFTER LAPAROSCOPIC SLEEVE GASTRECTOMY AND ROUX-EN-Y GASTRIC BYPASS.",A COMPARISON OF EFECTIVENESS AND A REPORT OF THE QUALITY OF LIFE OF PATIENTS AFTER LAPAROSCOPIC SLEEVE GASTRECTOMY AND ROUX-EN-Y GASTRIC BYPASS.
423,'Not everything that shakes is epilepsy'. The differential diagnosis of paroxysmal nonepileptiform disorders.,'Not all that shakes is epilepsy' ; the differential diagnosis of paroxysmal nonepileptiform disorders.
424,Naltrexone + bupropion (Mysimba). Too risky for only modest weight loss.,Naltrexone + bupropion (Mysimba) is too risky for a modest weight loss.
425,Intermittent Bolus or Semicontinuous Feeding for Preterm Infants?,For Premature Infants Intermittent Bolus or Semicontinuous Feeding
426,The human gut microbial ecology associated with overweight and obesity determines ellagic acid metabolism.,The human gut microbial ecology associated with overweight and obesity determines ellagic acid metabolism
427,Red wine polyphenols modulate fecal microbiota and reduce markers of the metabolic syndrome in obese patients.,The red wine polyphenols modulate the fecal microbiota and reduce markers of metabolic syndrome in obese patients.
428,Assessment of serum magnesium levels and its outcome in neonates of eclamptic mothers treated with low-dose magnesium sulfate regimen.,Assessing serum magnesium levels and its outcome in neonates of eclamptic mothers treated with low-dose magnesium sulfate regimens.
429,Small bowel volvulus with intussusception: an unusual revelation of neuroendocrine tumor.,Small intestinal volvulus with intussusception: an unusual revelation of neuroendocrine tumor.
430,Depression and Somatization Are Associated With Increased Postprandial Symptoms in Patients With Irritable Bowel Syndrome.,Depression and somatization in patients with irritable bowel syndrome are associated with increased postprandial symptoms.
431,IgG4-related disease manifesting the gastric wall thickening.,IgG4-related disease manifesting thickening of the gastric wall.
432,The anthropometric definition of the rectum is highly variable.,The anthropometric definition of the rectum is highly variable.
433,The extremely narrow-caliber esophagus is a treatment-resistant subphenotype of eosinophilic esophagitis.,The extremely narrow-caliber esophagus is a treatment-resistant subphenotype of eosinophilic esophagitis.
434,Evaluation and Management of the Hair Loss Patient in the Primary Care Setting.,Evaluation and management of hair loss patient in Primary Care Setting.
435,Accurate triage of lower gastrointestinal bleed (LGIB) - A cohort study.,Accurate triage of lower gastrointestinal bleeding (LGIB) - A cohort study.
436,Revisional single-anastomosis gastric bypass for a failed restrictive procedure: 5-year results.,Revisional single-anastomosis gastric bypass for a failed restrictive procedure : 5-year results.
437,Duodenojejunal Bypass Leads to Altered Gut Microbiota and Strengthened Epithelial Barriers in Rats.,Duodenojejunal bypass leads to altered Gut microbiota and strengthened epithelial barriers in rats.
438,Levodopa-Carbidopa Intestinal Gel Infusion Therapy in Advanced Parkinson's Disease: Single Middle Eastern Center Experience.,Intestinal gel therapy in advanced Parkinson's Disease: Single Middle East Center Experience.
439,Comparison of gut hormones and adipokines stimulated by glucagon test among patients with type II diabetes mellitus after metabolic surgery.,Comparison of gut hormones and adipokines stimulated by glucagon test among patients with type II diabetes mellitus after metabolic surgery
440,Drug treatment of obesity.,Drug treatment of obesity
441,Ventilation monitoring during moderate sedation in GI patients.,Ventilation monitoring of GI patients with moderate sedation.
442,Patient-related factors influence the risk of developing intestinal stoma complications in early post-operative period.,Patient-related factors in the early post-operative period impact the risk of developing intestinal stoma complications.
443,Computed Tomography Identifies Hepatic Portal Venous Gas Caused by Severe Diarrhoea.,Computed Tomography Identifies Hepatic Portal Venous Gas Associated with Severe Diarrhoea.
444,Guillain-Barré syndrome mimics primary biliary cirrhosis-related myopathy.,Guillain-Barré syndrome mimics primary biliary cirrhosis-related myopathy.
445,Gut microbiota manipulation with prebiotics in patients with non-alcoholic fatty liver disease: a randomized controlled trial protocol.,Gut microbiota manipulation with prebiotics in non-alcoholic fatty liver disease patients : a randomized controlled trial protocol
446,Why oral opioids may not be effective in a subset of chronic pain patients.,Why oral opioids may not be effective in a subset of chronic pain patients.
447,Combining selected immunomodulatory Propionibacterium freudenreichii and Lactobacillus delbrueckii strains: Reverse engineering development of an anti-inflammatory cheese.,Combining selected immunomodulatory strains of Propionibacterium freudenreichii and Lactobacillus delbrueckii : reverse engineering - development of anti-inflammatory cheese.
448,Laparoscopic gastric bypass vs sleeve gastrectomy in obese Korean patients.,Laparoscopic gastric bypass vs Sleeve Gastrectomy in obese Korean patients.
449,Is the neutrophil-to-lymphocyte ratio a potential diagnostic marker for peptic ulcer perforation? A retrospective cohort study.,Is the neutrophil-to-lymphocyte ratio a potential diagnostic marker for peptic ulcer perforation?
450,Incidental gastric mesenchymal tumors identified during laparoscopic sleeve gastrectomy.,Gastric mesenchymal tumors identified during laparoscopic sleeve gastrectomy.
451,Risk Factors for Early-Onset and Very-Early-Onset Pancreatic Adenocarcinoma: A Pancreatic Cancer Case-Control Consortium (PanC4) Analysis.,Risk factors for early and very early pancreatic adenocarcinoma : a Pancreatic Cancer Case Control Consortium (PanC4) analysis
452,"PROSPECTIVE TRIAL OF ENDOGENOUS FUNGAL ENDOPHTHALMITIS AND CHORIORETINITIS RATES, CLINICAL COURSE, AND OUTCOMES IN PATIENTS WITH FUNGEMIA.","PROSPECTIVE TRIAL OF ENDOGENOUS FUNGAL ENDOPHTHALMITIS AND CHORIORETINITIS RATES, CLINICAL COURSE AND OUTCOMES IN PATIENTS WITH FUNGEMIA"
453,The Gastrointestinal Pain Pointer: A Valid and Innovative Method to Assess Gastrointestinal Symptoms.,The gastrointestinal pain pointer: A valid and innovative method to assess gastrointestinal symptomatic problems
454,Body Mass Index Is Associated with Inflammatory Bowel Disease: A Systematic Review and Meta-Analysis.,Body Mass Index Is Associated with inflammatory bladder disease: a systematic review and meta-analysis.
455,Laparoscopic Roux-en-Y Gastric Bypass Versus Laparoscopic Sleeve Gastrectomy to Treat Morbid Obesity-Related Comorbidities: a Systematic Review and Meta-analysis.,Laparoscopic Roux-en-Y gastric bypass versus laparoscopic sleeve Gastrectomy to treat morbid obesity-related diseases: a systematic review and meta-analysis.
456,Combined treatment of somatostatin analogues with pegvisomant in acromegaly.,Combined treatment of somatostatin analogues with pegvisomant in acromegaly
457,Superior digestive tract side effects after prolonged treatment with NSAIDs in patients with osteoarthritis.,"After long treatment with NSAIDs in patients with osteoarthritis, it has excellent digestive side effects."
458,Clinical manifestations and endoscopic findings of amebic colitis in a United States-Mexico border city: a case series.,Clinical manifestations and endoscopic findings of amebic colitis in a United States-Mexico border city : a case series
459,Intraoperative infusion of branched-chain amino acids in patients undergoing gastrointestinal tumor surgery.,Intraoperative influx of branched-chain amino acids in patients undergoing gastrointestinal tumor surgery
460,Validation of Obesity Surgery Data in the Swedish National Patient Registry and Scandinavian Obesity Registry (SOReg).,Validation of Obesity Surgery Data in the Swedish National Patient Registry and the Scandinavian Obesity Registry (SOReg).
461,FOCUSED ASSESSMENT WITH SONOGRAPHY AS AN AID FOR THE DIAGNOSIS OF GASTROINTESTINAL PERFORATION IN A BOBCAT ( FELIS RUFUS ).,"AS AN AID FOR DIAGNOSIS OF GASTROINTESTINAL PERFORATION IN A BOBCAT ( FELIS RUFUS ), ASSESSMENT with SONOGRAPHY"
462,Current Clinical Indications for Small Bowel Capsule Endoscopy.,Current clinical indications for small bowl endoscopy.
463,Sarcopenia Adversely Impacts Postoperative Clinical Outcomes Following Gastrectomy in Patients with Gastric Cancer: A Prospective Study.,Sarcopenia adversely impacts postoperative clinical outcomes following gastric cancer in patients : prospective study.
464,Endometriosis within the sigmoid colon/extragenital endometriosis.,Endometriosis within the sigmoid colon/extragenital endometriosis.
465,Clinical characteristics associated with esophageal motility function.,Clinical characteristics associated with esophageal motility function
466,Ultrasound presentation of abdominal non-Hodgkin lymphomas in pediatric patients.,Ultrasound presentation of abdominal non-Hodgkin lymphomas in pediatric patients
467,"Does the stomach balloon modify the function of the esophagus and lower esophageal sphincter, stomach emptying and release of gastrointestinal peptides?.","Modifies the stomach balloon the function of the esophagus and lower esophageal sphincter, stomach emptying and release of gastrointestinal peptides?"
468,Hamartomatous Tumors in the Gastrointestinal Tract.,Hamartomatous tumors in the gastrointestinal tract.
469,Introduction of positron emission tomography into the Western Norwegian Health Region: Regional balance in resource utilization from 2009 to 2014.,Introducement of the positron emission tomography into the Western Norwegian Health Region : regional balance of resource utilization from 2009 to 2014.
470,Equivalent Increases in Circulating GLP-1 Following Jejunal Delivery of Intact and Hydrolysed Casein: Relevance to Satiety Induction Following Bariatric Surgery.,Equivalent increases in the circulation of GLP-1 after the jejunal delivery of cutaneous and hydrolyzed casein: relevance to the satiety induction following bariatric surgery
471,Sodium phosphate versus polyethylene glycol for colonoscopy bowel preparation: an updated meta-analysis of randomized controlled trials.,Sodium phosphate versus polyethylene glycol for colonoscopy preparation in the bowel: updated meta-analysis of randomized controlled trials.
472,Severe obesity prior to diagnosis limits survival in colorectal cancer patients evaluated at a large cancer centre.,Selvere obesity prior to diagnosis limits survival in colorectal cancer patients at a large cancer centre.
473,Geriatric trauma G-60 falls with hip fractures: A pilot study of acute pain management using femoral nerve fascia iliac blocks.,Geriatric trauma G-60 falls with hip fractures: a pilot study on acute pain management using femoral nerve fascia iliac blocks
474,Innovations in Bariatric Surgery.,Innovations in bariatric surgery.
475,Efficacy and Safety of Liraglutide Versus Placebo as Add-on to Glucose-Lowering Therapy in Patients With Type 2 Diabetes and Moderate Renal Impairment (LIRA-RENAL): A Randomized Clinical Trial.,The efficiency and safety of Liraglutide Versus Placebo as an additional glucose-lowering therapy in patients with Type 2 diabetes and moderate renal impairment (LIRA-RENAL): a randomised clinical trial
476,Psychological Outcomes and Medical Morbidity of Patients With Bipolar Disorder and Co-Occurring Alcohol Use Disorder.,Psychological outcomes and medical morbidity of patients with bipolar disorder and co-occurring alcohol use disorder
477,Predictive factors for sorafenib-induced hand-foot skin reaction using ordered logistic regression analysis.,Predictive factors for the hand-foot reaction of sorafenib using an ordered logistic regression analysis
478,Predictors of weight-loss response with glucagon-like peptide-1 receptor agonist treatment among adolescents with severe obesity.,Predictors of weight loss responses with glucagon-like peptide-1 receptor antagonist treatment among adolescents with severe obesity
479,Dynamic weight bearing as a non-reflexive method for the measurement of abdominal pain in mice.,Dynamic weight bearing as a non-reflexive method for the measurement of abdominal pain in mice
480,Esophageal abnormalities in morbidly obese adult patients.,Esophageal abnormalities in morbidly obese adult patients
481,Survival impact of postoperative body mass index in gastric cancer patients undergoing gastrectomy.,Survival impact of postoperative body mass index in gastric cancer patients undergoing gastrectomy.
482,Heller oesophagomyotomy as treatment for achalasia after gastric bypass for morbid obesity.,Heller oesophageomyotomy as treatment for achalasia after gastric bypass for the morbid obesity
483,Who should receive recombinant human erythropoietin?,Who should receive recombinant human erythropoietin?
484,Analysis of clinical characteristics and causes of chest pain in children and adolescents.,Analysis of clinical features and causes of chest pain in children and adolescents
485,Is there a difference in mad honey poisoning between geriatric and non-geriatric patient groups?,There is a difference in the mad honey poisoning between geriatric and non-geriatric patient groups?
486,Clinicopathologic features of inflammatory fibroid polyp in gastrointestinal tract.,Clinicopathologic features of inflammation-associated fibroid polyp in gastrointestinal tract.
487,Gastrointestinal hormones and their role in obesity.,The gastrointestinal hormones and their role in obesity
488,"Physiological patterns of intestinal microbiota. The role of dysbacteriosis in obesity, insulin resistance, diabetes and metabolic syndrome.","The physiological patterns of intestinal microbiota: the role of dysbacteriosis in obesity, insulin resistance, diabetes and metabolic syndrome."
489,Subjective global assessment for nutritional assessment of hospitalized patients requiring haemodialysis: A prospective cohort study.,Subjective global assessment for nutritional assessment of hospitalized patients requiring haemodialysis : A prospective cohort study
490,Laparoscopic Surgery for Severe Rectovaginal Endometriosis Compromising the Bowel: A Prospective Cohort Study.,Laparoscopic surgery for severe renal endometriosis of the stomach: a prospective cohort study.
491,Gastric fluid detected by sonography in fasting patients: relation to duodenal ulcer disease and gastric-outlet obstruction.,"In fasting patients, detection of gastric fluid by sonography : relation to duodenal ulcer disease and gastric outlet obstruction"
492,Neonatal Abstinence Syndrome - Diagnostic Dilemmas in the Maternity Ward.,Neonatal Abstinence Syndrome Diagnostic dilemmas in the Maternity Ward
493,Modulation of vagal tone enhances gastroduodenal motility and reduces somatic pain sensitivity.,Modulation of vagal tone improves gastroduodenal motility and reduces somatic pain sensitivity.
494,Prebiotic Potential of a Maize-Based Soluble Fibre and Impact of Dose on the Human Gut Microbiota.,Prebiotic potential of a maize-based biocompatible fiber and the effect of dosage on the human gut microbiota.
495,Liquid Biopsy and Laboratory Medicine.,Liquid biopsy and lab medicine.
496,Misdiagnosis and Mistherapy of Crohn's Disease as Intestinal Tuberculosis: Case Report and Literature Review.,Misdiagnosis and mistherapy of Crohn’s Disease as intestinal tuberculosis: case report and literature review
497,Feeding tube placement: auscultatory method and x-ray agreement.,Feeding tube placement: Auscultatory method and X-ray agreement.
498,The importance of selected intestinal hormones in the regulation of food intake and perspectives of their use in the treatment of obesity.,The importance of selected intestinal hormones in the regulation of the food intake and perspectives of their use in the treatment of obesity.
499,"Pediatric Rectal Exam: Why, When, and How.","Pediatric Rectal Exam: Why, When and How"
500,POEMS Syndrome: A Rare Disease With A Challenging Diagnosis.,POEMS Syndrome: A rare disease with a challenging diagnostic.
501,A rare complication of CMV infection in Crohn's disease - hemophagocytic syndrome: a case report.,A rare complication of CMV infection in Crohn’ s Disease hemophagocytic syndrome: a case report
502,Endometriosis-related infertility: assisted reproductive technology has no adverse impact on pain or quality-of-life scores.,Endometriosis-related infertility: assisted reproductive technology has no adverse impact on pain or quality of life scores.
503,Endoscopic Sleeve Gastroplasty Alters Gastric Physiology and Induces Loss of Body Weight in Obese Individuals.,Endoscopic Sleeve Gastroplasty Alters Gastric Physiology and Induces Loss of Body Weight in Obese Individuals.
504,The Role of Routine Upper Gastrointestinal Endoscopy Before Bariatric Surgery.,The role of the routine upper gastrointestinal endoscopy before bariatric surgery
505,Histamine Receptor H1-Mediated Sensitization of TRPV1 Mediates Visceral Hypersensitivity and Symptoms in Patients With Irritable Bowel Syndrome.,Histamine receptor H1-mediated sensitization of TRPV1 mediates peripheral hypersensitivity and symptomatic symptoms in patients with irritable bowel syndrome.
506,"Outcomes of Esophageal Dilation in Eosinophilic Esophagitis: Safety, Efficacy, and Persistence of the Fibrostenotic Phenotype.","Results of esophageal dilation in eosinophilic esophagitis: Safety, Efficacy and Persistence of the fibrostenotic phenotype"
507,Initial clinical experiences in the treatment of chronic polyarthritis with a new monokine release inhibitor.,Initial clinical experiences in the treatment of chronic polyarthritis with a new monokine release inhibitor.
508,Cardiovascular disorders in case of acute gastrointestinal bleeding in patients with arterial hypertension.,Cardiovascular disorders in the case of acute gastrointestinal bleeding in patients with arterial hypertension.
509,Risk Factors for the Loss of Lean Body Mass After Gastrectomy for Gastric Cancer.,Risk factors for the loss of lean body mass after gastric cancer.
510,Endoscopic Management of Bariatric Surgery Complications.,Endoscopic management of bariatric complications
511,DGRh recommendations for the implementation of current security aspects in the NSAID treatment of musculoskeletal pain.,Recommended DGRh for the implementation of current security aspects in the NSAID treatment of musculoskeletal pain
512,"Outcomes, controversies and gastric volume after laparoscopic sleeve gastrectomy in the treatment of obesity.","Surgical outcome, controversy and gastric volume after laparoscopic sleeve gastrectomy in the treatment of obesity"
513,Wilkie Syndrome. A case report.,Wilkie Syndrome: A case report.
514,Obesity-Induced Colorectal Cancer Is Driven by Caloric Silencing of the Guanylin-GUCY2C Paracrine Signaling Axis.,Obesity-induced colorectal cancer is driven by Caloric Silencing of the Paracrine Signaling Axis Guanylin-GUCY2C.
515,Five-year results of laparoscopic sleeve gastrectomy: effects on gastroesophageal reflux disease symptoms and co-morbidities.,Five-year results of laparoscopic sleeve gastrectomy: effects on gastroesophageal reflux disease symptoms and co-morbidities
516,BEFORE-AND-AFTER STUDY: DOES BARIATRIC SURGERY REDUCE HEALTHCARE UTILIZATION AND RELATED COSTS AMONG OPERATED PATIENTS?,BEFORE AND AFTER BURNINGS: DOES BARIATRIC SURGERY REDUCE HEALTHCARE UTILIZATION AND RELATED COSTS AMONG OPERATED PATIENTS?
517,Endoscopic ultrasound-assisted transmural cholecystoduodenostomy or cholecystogastrostomy as a bridge for per-oral cholecystoscopy therapy using double-flanged fully covered metal stent.,Endoscopic ultrasound assisted transmural cholecystoduodenostomy or cholecystogastrostomy as a bridge for oral cholecystoscopy therapy using a double-flanged fully coated metal stent.
518,Irritable Bowel Syndrome: A Review for General Pediatricians.,Irritable Bowel Syndrome: A Review for General Pediatricians.
519,Nissen fundoplication in children with and without neurological impairment: A prospective cohort study.,A prospective cohort study of nissen fundoplication in children with and without neurological impairment
520,Comparative Effects of Roux-en-Y Gastric Bypass and Sleeve Gastrectomy on Glucose Homeostasis and Incretin Hormones in Obese Type 2 Diabetic Patients: A One-Year Prospective Study.,Comparative effects of Roux-en-Y gastric bypass and Sleeve Gastrectomy on Glucose Homeostasis and Incretin Hormones in obese type 2 diabetes patients: A 1-Year Prospective Study.
521,HORMONE SUBSTITUTION AFTER GASTRIC BYPASS SURGERY IN PATIENTS WITH HYPOPITUITARISM SECONDARY TO CRANIOPHARYNGIOMA.,HORMONE SUBSTITUTION AFTER GASTRIC BYPASS SURGERY IN PATIENTS WITH HYPOPITUITARISM SECONDARY TO CRANIOPHARYNGIOMA
522,Relative accuracy of emergency CT in adults with non-traumatic abdominal pain.,Relative accuracy of the emergency CT in adults with non-traumatic abdominal pain.
523,Application of magnetic resonance enterography for diagnosis of small intestinal diseases in children.,Application of magnetic resonance enterography for the diagnosis of small intestinal diseases in children.
524,Impact of sleeve gastrectomy on gastroesophageal reflux disease in a morbidly obese population undergoing bariatric surgery.,Impact of Sleeve Gyratectomy on gastroesophageal reflux disease in a morbidly obese population undergoing bariatric surgery.
525,Microbiota manipulation for weight change.,Microbiota manipulation for weight change.
526,Opioid-induced bowel dysfunction in healthy volunteers assessed with questionnaires and MRI.,Optical bowel dysfunction in healthy volunteers assessed with questionnaires and MRI.
527,Prognostic importance of pretreatment and on-treatment blood pressure: Further analysis of the ACTION database and the effect of nifedipine gastrointestinal therapeutic system.,Prognostic importance of pretreatment and at-treatment blood pressure: further analysis of ACTION database and effect of nifedipine on the gastrointestinal therapeutic system
528,Outcomes for prostate glands >60 cc treated with low-dose-rate brachytherapy.,Outcomes for prostate glands >60 cc treated with low-dose brachytherapy
529,Prognostic value of rectal temperature at hospital admission in client-owned rabbits.,Prognostic value of rectal temperature at hospital admission in clients owned rabbits.
530,Sonographic detection of fluid in the cul-de-sac in children--a normal finding?,The sonographic detection of fluid in the cul-de-sac of children -- a normal finding?
531,Endoscopic-ultrasound versus percutaneous-guided celiac plexus block for chronic pancreatitis pain. A systematic review and meta-analysis.,Endoscopic ultrasound versus percutaneous celiac plexus block for chronic pancreatitis pain - systematic review and meta-analysis
532,Total Weight Loss as the Outcome Measure of Choice After Roux-en-Y Gastric Bypass.,Weight loss total as an outcome measure of the choice after the Roux - en-Y Gastric Bypass.
533,A Case of HER2-Positive Advanced Gastric Cancer with a Pathological Complete Response to Neoadjuvant Chemotherapy with S-1/CDDP/Trastuzumab.,A case of HER2-positive advanced gastric cancer with a pathological full response to neoadjuvant chemotherapy with S-1/CDDP/Trastuzumab.
534,Cortical and trabecular deterioration in mouse models of Roux-en-Y gastric bypass.,Cortical and trabecular deterioration in mouse models of Roux-en-Y gastric bypass.
535,Echogenic focus in the gastrointestinal wall as a sign of ulceration.,Echogenic focus in the gastrointestinal wall as a sign of ulceration.
536,"Benefits of use, and tolerance of, medium-chain triglyceride medical food in the management of Japanese patients with Alzheimer's disease: a prospective, open-label pilot study.",Benefits of the use and tolerance of medium-chain triglyceride medical food in the management of Japanese patients with Alzheimer's disease: a prospective open-label pilot study
537,Early nasogastric tube feeding in optimising treatment for hyperemesis gravidarum: the MOTHER randomised controlled trial (Maternal and Offspring outcomes after Treatment of HyperEmesis by Refeeding).,Early nasogastric tube feeding in optimising the treatment for hyperemesis gravidarum: the Randomised Controlled Trial (Maternal and Progeny after treatment of hyperemesis by refeeding).
538,Impact of obesity treatment on gastroesophageal reflux disease.,Impact of obesity on gastroesophageal reflux disease.
539,A Case of Eosinophilic Gastroenteritis with Ascites.,A case of eosinophilic gastroenteritis with Ascites
540,Obesity is associated with decreased lung compliance and hypercapnia during robotic assisted surgery.,Obesity is associated with reduced lung compliance and hypercapnia during robotic assisted surgery.
541, Eruptive Lentiginosis  in a Patient With Vitiligo and Inflammatory Bowel Disease Treated With Azathioprine.,Eruptive Lentiginosis in a patient with vitiligo and inflammation of the bowel was treated with Azathioprine.
542,"Improved Glucose Profile in Patients With Type 2 Diabetes With a New, High-Protein, Diabetes-Specific Tube Feed During 4 Hours of Continuous Feeding.","Improved glucose profile in patients with type 2 diabetes with a new, high protein, diabetes-specific tube diet. During 4 Hours of Continuous Feeding"
543,Nifedipine GITS/Candesartan Combination Therapy Lowers Blood Pressure Across Different Baseline Systolic and Diastolic Blood Pressure Categories: DISTINCT Study Subanalyses.,Nefedipine GITS/Candesartan combination therapy lowers blood pressure Across Different Baseline Systolic and Diastolic Blood Pressure Categories: DISTINCT study subanalyses
544,Influence of high body mass index on mortality and infectious outcomes in patients who underwent open gastrointestinal surgery: A meta-analysis.,Influence of a high body mass index on mortality and infectious outcomes in patients underwent open gastroenteral surgery: a meta-analysis.
545,"Constipation in Duchenne Muscular Dystrophy: Prevalence, Diagnosis, and Treatment.","The constipation of Duchenne Muscular Dystrophy: Prevalence, Diagnosis and Treatment."
546,The Porosity of Autonomy: Social and Biological Constitution of the Patient in Biomedicine.,The porosity of autonomy: the social and biological constitution of the patient in biomedicine
547,A Gossypiboma (Textiloma) Mimicking a Gastrointestinal Stromal Tumor: A Case Report.,A gossypiboma (Textiloma) mimicking a gastrointestinal stromal tumor : a case report
548,"Rhabdomyolysis after bariatric surgery: a multicenter, prospective study on incidence, risk factors, and therapeutic strategy in a cohort from South Italy.","Rhabdomyolysis after bariatric surgery: a multicenter, prospective study of incidence, risk factors and therapeutic strategy in a cohort from South Italy"
549,Acute Pancreatitis Caused By Mushroom Poisoning: A Report of Two Cases.,Acute pancreatitis caused by mushroom poisoning : a report of two cases.
550,How to Manage Chronic Diarrhoea.,How to manage chronic irritability.
551,"Prevalence of gallstones in elderly black women in Soweto, Johannesburg, as assessed by ultrasound.","Prevalence of gallstones in elderly black women in Soweto, Johannesburg, as assessed by ultrasound"
552,Pathology of Gastrointestinal Neuroendocrine Tumors: An Update.,The pathology of gastrointestinal neuroendocrine tumors - An Update
553,Semiphysiologically based pharmacokinetic model for midazolam and CYP3A mediated metabolite 1-OH-midazolam in morbidly obese and weight loss surgery patients.,Semiphysiologically based pharmacokinetic model for the midazolam and the CYP3A mediated metabolite 1-OH-midazolam in morbidly obese and weight loss surgery patients.
554,Clinical characteristics of patients having single versus multiple patient encounters within a palliative care programme.,Clinical characteristics of patients having one versus multiple patient encounters within a palliative care programme.
555,Short-Term Analysis of Food Tolerance and Quality of Life after Laparoscopic Greater Curvature Plication.,Short-term analysis of food tolerance and quality of life after laparoscopic greater curvature plowing
556,A Pre-Hospital Patient Education Program Improves Outcomes of Bariatric Surgery.,A pre-hospital patient education program improves the outcomes of bariatric surgery.
557,Human bromethalin exposures reported to a U.S. Statewide Poison Control System.,Human bromethalin exposures have been reported to a US Statewide Poison Control System
558,Robotic assisted hysterectomy in obese patients: a systematic review.,Robotic assisted hysterectomy in obese patients: a systematic review
559,Removal of foreign bodies in the upper gastrointestinal tract in adults: European Society of Gastrointestinal Endoscopy (ESGE) Clinical Guideline.,Removal of foreign bodies in the upper gastrointestinal tract in adults European Society of Gastrointestinal Endoscopy (ESGE) Clinical guidelines
560,Simultaneous development of sarcoidosis and cutaneous vasculitis in a patient with refractory Crohn's disease during infliximab therapy.,Symptomatic development of sarcoidosis and cutaneous vasculitis in a patient with refractory Crohn's disease during infliximab therapy
561,Gastric Wall Fatty Infiltration in Patients Without Overt Gastrointestinal Disease.,Gastric wall fatty infiltration in patients without overt gastro intestinal disease.
562,Resting energy expenditure in adult patients with Crohn's disease.,RESTING ENERGY SPENDING in Adults with Crohn's disease.
563,Impact of Perioperative Complications After Endovascular Therapy in Diabetic Patients With Critical Limb Ischemia due to Isolated Infrapopliteal Lesions.,Impact of perioperative complications after endovascular therapy in diabetic patients with acute limb ischemia due to isolated infrapopliteal lesions
564,Akkermansia muciniphila and its role in regulating host functions.,Akkermansia muciniphila and its role in regulating host functions.
565,Diffuse large B-cell lymphoma with aberrant expression of CD56: a clinicopathologic and immunohistochemical study.,Diffuse large B-cell lymphoma with aberrant expression of CD56: a clinicopathological and immunohistochemical study
566,UK malaria treatment guidelines 2016.,"UK malaria treatment guidelines 2016,."
567,A randomised double-blind multicentre trial comparing tenoxicam and ketoprofen in osteoarthritis.,A randomised double-blind multicenter trial comparing tenoxicam and ketoprofen to osteoarthritis.
568,A Comparison of New Pharmacological Agents for the Treatment of Obesity.,A Comparison of New Pharmacological Agents for the Treatment of Obesity.
569,"Obesity, Asthma, and the Microbiome.","Obesity, Asthma and the microbiome."
570,Perioperative dexmedetomidine for acute pain after abdominal surgery in adults.,Perioperative dexmedetomidine for acute pain after abdominal surgery in adults
571,How to Diagnose and Treat IBD Mimics in the Refractory IBD Patient Who Does Not Have IBD.,How to diagnose and treat IBD Mimics in refractory IBD-patient who does not have IBD.
572,"Lipids and bariatric procedures part 1 of 2: Scientific statement from the National Lipid Association, American Society for Metabolic and Bariatric Surgery, and Obesity Medicine Association: EXECUTIVE SUMMARY.","Lipids and bariatric procedures part 1 of 2: Scientific Statement from the National Lipid Association, the American Society for Metabolic and Bariatric Surgery and the Obesity Medicine Association:"
573,"Lipids and bariatric procedures part 1 of 2: Scientific statement from the National Lipid Association, American Society for Metabolic and Bariatric Surgery, and Obesity Medicine Association: FULL REPORT.","Lipids and Bariatric procedures part 1 of 2: Scientific statement from the National Lipid Association, the American Society for Metabolic and Bariatric Surgery and the Obesity Medicine Association: full report"
574,Capsule endoscopy in the diagnosis of an exophytic gastrointestinal stromal tumor in the small intestine of a young adult woman: A case report.,Capsule endoscopy in diagnosis of an exophytic gastrointestinal stromal tumor in the small intestine of a young adult woman: a case report
575,Bronchial Paraganglioma with SDHB Deficiency.,Bronchial paraganglioma with SDHB Deficiency.
576,Antibiotic administration and the development of obesity in children.,Antibiotic administration and obesity development in children.
577,A review of the Redman syndrome and rifampicin overdosage.,A review of the Redman Syndrome and the Ribenichin Overdosage.
578,Office management of acute pediatric poisonings.,The office management of acute pediatric poisonings.
579,Endoscopic sleeve gastroplasty (the Apollo method): a new approach to obesity management.,Endoscopic Sleeve gastroplasty (the Apollo Method): a new approach to obesity management
580,Risk Factors Associated with Mortality and Increased Drug Costs in Nonvariceal Upper Gastrointestinal Bleeding.,Factors associated with mortality and increased drug cost in non-variced upper gastrointestinal bleeding
581,Segmental Duodenectomy in Surgical Therapy of Tumor of the Third and Fourth Portions of Duodenum.,Segmental dolarectomy in Surgical Therapy of Tumor of the third and fourth faces of the dolars
582,The effect of laparoscopic sleeve gastrectomy (LSG) on glycemic control in morbidly obese patients.,The effect of laparoscopic sleeve gastrectomy (LSG) on glycemic control in morbidly obese patients
583,Propranolol in the prevention of digestive bleeding in cirrhotic patients.,Propranolol in the prevention of gastrointestinal bleeding in cirrhotic patients.
584,Progress of clinical practice on the management of burn-associated pain: Lessons from animal models.,Advancement of clinical practice in the management of burn-associated pain: lessons from animal models.
585,Bone marrow findings in severe fever with thrombocytopenia syndrome: prominent haemophagocytosis and its implication in haemophagocytic lymphohistiocytosis.,Bone marrow findings in severe fever with thrombocytopenia syndrome: prominent haemophagocytosis and its role in haemophagocytic lymphohistiocytosis
586,"A Case of an 11-year-old With Cough, Diarrhea, and Findings of Concern in His Lungs and Spleen.","A case of an 11-year-old with coughing, diarrhea and finding of concern in his lungs and spleen."
